folds,YEAR,var,cimp
Resample01,2011,TILL,872.4617787283115
Resample01,2011,FUNG,2556.7026448797783
Resample01,2011,INOC,2031.955686176973
Resample01,2011,SOM,475.97458316081173
Resample01,2011,Clay,585.4699740662047
Resample01,2011,Silt,88.11924232200283
Resample01,2011,Sand,85.86158695761668
Resample01,2011,Pp_pre,313.5955172964497
Resample01,2011,Pp_1,383.04302783514055
Resample01,2011,Pp_2,203.35620905612538
Resample01,2011,Pp_3,274.8174735573071
Resample01,2011,Pp_4,350.4312916981013
Resample01,2011,SDI_pre,-70.53558419370587
Resample01,2011,SDI_1,213.13645744182023
Resample01,2011,SDI_2,22.20804412627418
Resample01,2011,SDI_3,38.7678957455873
Resample01,2011,SDI_4,125.14082610851648
Resample01,2011,AWDR_pre,197.28499289655156
Resample01,2011,AWDR_1,721.7005215790781
Resample01,2011,AWDR_2,107.83611747602379
Resample01,2011,AWDR_3,101.80297540906234
Resample01,2011,AWDR_4,408.10913912684396
Resample01,2011,Tm_pre,138.15267733287124
Resample01,2011,Tm_1,-65.21156074094615
Resample01,2011,Tm_2,45.047046344631525
Resample01,2011,Tm_3,177.05207662086613
Resample01,2011,Tm_4,171.2639136885968
Resample01,2011,Rad_1,106.4043346220607
Resample01,2011,Rad_2,223.5133641291299
Resample01,2011,Rad_3,337.8768267282713
Resample01,2011,Rad_4,179.17953577530045
Resample01,2011,vpd_pre,43.792781740701464
Resample01,2011,vpd_1,-24.206102578933933
Resample01,2011,vpd_2,121.83471205017966
Resample01,2011,vpd_3,-37.99018971811718
Resample01,2011,vpd_4,84.19879590866913
Resample01,2011,Q_1,80.6873971533947
Resample01,2011,Q_2,-153.80862399104313
Resample01,2011,Q_3,-31.72673902477021
Resample01,2011,Q_4,265.6772360542402
Resample01,2011,YEAR,-29.781157104367157
Resample02,2013,TILL,993.5763716929132
Resample02,2013,FUNG,2686.632162829625
Resample02,2013,INOC,3996.8595696910056
Resample02,2013,SOM,2581.940035814453
Resample02,2013,Clay,705.9407994156151
Resample02,2013,Silt,282.52758691081283
Resample02,2013,Sand,57.85438383707893
Resample02,2013,Pp_pre,366.8846740095143
Resample02,2013,Pp_1,645.7481053719836
Resample02,2013,Pp_2,46.47110100454316
Resample02,2013,Pp_3,511.617193190596
Resample02,2013,Pp_4,285.85412007182896
Resample02,2013,SDI_pre,9.94249369814468
Resample02,2013,SDI_1,204.8876620553786
Resample02,2013,SDI_2,313.4510199893572
Resample02,2013,SDI_3,169.72316720799805
Resample02,2013,SDI_4,75.40314776930695
Resample02,2013,AWDR_pre,53.7079650094363
Resample02,2013,AWDR_1,315.09065279044734
Resample02,2013,AWDR_2,-109.90470113389834
Resample02,2013,AWDR_3,91.12064550170588
Resample02,2013,AWDR_4,280.55507224816597
Resample02,2013,Tm_pre,-67.97548232072877
Resample02,2013,Tm_1,8.549548799344338
Resample02,2013,Tm_2,-73.81359280080244
Resample02,2013,Tm_3,19.19211815545248
