folds,YEAR,var,imp
Resample01,2011,TILL,8456.847505220794
Resample01,2011,FUNG,78962.292380617655
Resample01,2011,INOC,244460.25796928283
Resample01,2011,SOM,142525.08916726802
Resample01,2011,Clay,55189.00847526257
Resample01,2011,Silt,49179.59754754717
Resample01,2011,Sand,40759.414138429835
Resample01,2011,Pp_pre,35715.576612397
Resample01,2011,Pp_1,28172.94644140635
Resample01,2011,Pp_2,36413.52301578798
Resample01,2011,Pp_3,81908.75630634488
Resample01,2011,Pp_4,41701.51767866853
Resample01,2011,SDI_pre,27705.05487701496
Resample01,2011,SDI_1,35864.57728329352
Resample01,2011,SDI_2,76052.6192351807
Resample01,2011,SDI_3,39757.61280453476
Resample01,2011,SDI_4,27542.373807681008
Resample01,2011,AWDR_pre,24765.654624726838
Resample01,2011,AWDR_1,48960.49746105366
Resample01,2011,AWDR_2,51850.36478509289
Resample01,2011,AWDR_3,84921.48621382161
Resample01,2011,AWDR_4,43925.845284719064
Resample01,2011,Tm_pre,77464.88806006398
Resample01,2011,Tm_1,28051.49780272112
Resample01,2011,Tm_2,38618.02398036157
Resample01,2011,Tm_3,65108.41326756906
Resample01,2011,Tm_4,127523.17790315858
Resample01,2011,Rad_1,31963.11349050164
Resample01,2011,Rad_2,26126.512412114167
Resample01,2011,Rad_3,85845.88139225714
Resample01,2011,Rad_4,33673.933850640286
Resample01,2011,vpd_pre,92415.0346502448
Resample01,2011,vpd_1,38831.46712627822
Resample01,2011,vpd_2,34147.815172970375
Resample01,2011,vpd_3,45036.46877573482
Resample01,2011,vpd_4,67334.20513301558
Resample01,2011,Q_1,28417.46515240068
Resample01,2011,Q_2,40753.87057665928
Resample01,2011,Q_3,34921.58296003426
Resample01,2011,Q_4,40227.22067773046
Resample02,2013,TILL,8632.847707251152
Resample02,2013,FUNG,79836.96122080162
Resample02,2013,INOC,252283.27718181466
Resample02,2013,SOM,142156.50815969528
Resample02,2013,Clay,57900.95964834578
Resample02,2013,Silt,48546.21237733176
Resample02,2013,Sand,46352.90550777575
Resample02,2013,Pp_pre,29000.465727633808
Resample02,2013,Pp_1,34472.25012584502
Resample02,2013,Pp_2,40300.66809083579
Resample02,2013,Pp_3,85986.3500836299
Resample02,2013,Pp_4,35261.591633111515
Resample02,2013,SDI_pre,27889.780467107234
Resample02,2013,SDI_1,32379.378506852932
Resample02,2013,SDI_2,89065.47413865602
Resample02,2013,SDI_3,44003.20204897006
Resample02,2013,SDI_4,35116.31827983932
Resample02,2013,AWDR_pre,25659.98583909819
Resample02,2013,AWDR_1,51938.29838424715
Resample02,2013,AWDR_2,48384.52073308674
Resample02,2013,AWDR_3,89215.35819976407
Resample02,2013,AWDR_4,46623.06345578755
Resample02,2013,Tm_pre,77366.2373422678
Resample02,2013,Tm_1,35454.54020409317
Resample02,2013,Tm_2,41128.35491113007
Resample02,2013,Tm_3,59822.758471326
Resample02,2013,Tm_4,115437.92048321203
Resample02,2013,Rad_1,31428.55891814323
Resample02,2013,Rad_2,26861.28660534532
Resample02,2013,Rad_3,88997.99160246275
Resample02,2013,Rad_4,35004.15447338554
Resample02,2013,vpd_pre,96930.79366534857
Resample02,2013,vpd_1,41575.33929530297
Resample02,2013,vpd_2,40014.85907344493
Resample02,2013,vpd_3,41055.61670379375
Resample02,2013,vpd_4,58085.34240308176
Resample02,2013,Q_1,32117.80772440458
Resample02,2013,Q_2,40729.06298449067
Resample02,2013,Q_3,33166.164775645586
Resample02,2013,Q_4,42039.87594149202
Resample03,2010,TILL,7598.175001348018
Resample03,2010,FUNG,74772.70030249855
Resample03,2010,INOC,249144.53646696013
Resample03,2010,SOM,155922.66277358442
Resample03,2010,Clay,52206.382237519785
Resample03,2010,Silt,53935.88059827062
Resample03,2010,Sand,50481.21749836125
Resample03,2010,Pp_pre,34588.98347346212
Resample03,2010,Pp_1,34212.25906803653
Resample03,2010,Pp_2,36367.8707791875
Resample03,2010,Pp_3,83919.45258660328
Resample03,2010,Pp_4,35290.88488464089
Resample03,2010,SDI_pre,27779.155132906482
Resample03,2010,SDI_1,30917.351484719715
Resample03,2010,SDI_2,81278.87508898591
Resample03,2010,SDI_3,45116.5528720068
Resample03,2010,SDI_4,29075.282081862864
Resample03,2010,AWDR_pre,27641.48404812578
Resample03,2010,AWDR_1,47353.47541891544
Resample03,2010,AWDR_2,53771.311753246366
Resample03,2010,AWDR_3,94785.503505708
Resample03,2010,AWDR_4,35941.28204649572
Resample03,2010,Tm_pre,75012.51011704051
Resample03,2010,Tm_1,33828.05543574083
Resample03,2010,Tm_2,36636.847214990266
Resample03,2010,Tm_3,63691.61944002017
Resample03,2010,Tm_4,116584.56578967479
Resample03,2010,Rad_1,31261.44300595045
Resample03,2010,Rad_2,25258.97066318364
Resample03,2010,Rad_3,85087.76335589151
Resample03,2010,Rad_4,34959.85285322313
Resample03,2010,vpd_pre,87880.1872672795
Resample03,2010,vpd_1,36991.35328120833
Resample03,2010,vpd_2,38895.33401564445
Resample03,2010,vpd_3,43008.179363212264
Resample03,2010,vpd_4,58457.10572493948
Resample03,2010,Q_1,29567.697938518788
Resample03,2010,Q_2,36903.86287137001
Resample03,2010,Q_3,33881.270653307554
Resample03,2010,Q_4,39015.27708105238
Resample04,2012,TILL,9344.880853376415
Resample04,2012,FUNG,75597.37573295573
Resample04,2012,INOC,248787.6435427135
Resample04,2012,SOM,147230.4520867426
Resample04,2012,Clay,53777.78540289123
Resample04,2012,Silt,53289.198706660274
Resample04,2012,Sand,47681.21967683883
Resample04,2012,Pp_pre,35633.52639980546
Resample04,2012,Pp_1,27410.96391103632
Resample04,2012,Pp_2,35973.34957566596
Resample04,2012,Pp_3,81139.71790729911
Resample04,2012,Pp_4,34025.19769156315
Resample04,2012,SDI_pre,27233.273662772735
Resample04,2012,SDI_1,33402.82577349491
Resample04,2012,SDI_2,81858.98240310003
Resample04,2012,SDI_3,41648.86189599689
Resample04,2012,SDI_4,27749.757016048025
Resample04,2012,AWDR_pre,24070.50575347629
Resample04,2012,AWDR_1,46282.561445951054
Resample04,2012,AWDR_2,54647.51753713067
Resample04,2012,AWDR_3,91953.18836015857
Resample04,2012,AWDR_4,36429.583472970146
Resample04,2012,Tm_pre,72992.29214173362
Resample04,2012,Tm_1,32905.64678016541
Resample04,2012,Tm_2,43333.59384471221
Resample04,2012,Tm_3,54183.187676232286
Resample04,2012,Tm_4,127672.74737776589
Resample04,2012,Rad_1,29647.5886809971
Resample04,2012,Rad_2,31262.638167091638
Resample04,2012,Rad_3,84973.30135654377
Resample04,2012,Rad_4,35562.20418342563
Resample04,2012,vpd_pre,86794.71986354243
Resample04,2012,vpd_1,38231.75201325771
Resample04,2012,vpd_2,33145.97141324093
Resample04,2012,vpd_3,51179.13518534547
Resample04,2012,vpd_4,61633.9474816667
Resample04,2012,Q_1,30306.62003352178
Resample04,2012,Q_2,42765.82714462442
Resample04,2012,Q_3,29083.29141110931
Resample04,2012,Q_4,43896.66225474238
Resample05,2015,TILL,6945.155901234539
Resample05,2015,FUNG,69603.32022406631
Resample05,2015,INOC,263751.93228542263
Resample05,2015,SOM,148065.88046639538
Resample05,2015,Clay,46660.605247804226
Resample05,2015,Silt,58321.283305153585
Resample05,2015,Sand,45181.67733880243
Resample05,2015,Pp_pre,31948.31887442733
Resample05,2015,Pp_1,35016.955152014794
Resample05,2015,Pp_2,32129.08326327789
Resample05,2015,Pp_3,91344.59010761131
Resample05,2015,Pp_4,37671.90176245495
Resample05,2015,SDI_pre,30034.316728622707
Resample05,2015,SDI_1,35720.214506614255
Resample05,2015,SDI_2,85983.07456077865
Resample05,2015,SDI_3,41861.68878446939
Resample05,2015,SDI_4,27451.36799793966
Resample05,2015,AWDR_pre,26787.689827187754
Resample05,2015,AWDR_1,45736.50717908871
Resample05,2015,AWDR_2,53563.77108537766
Resample05,2015,AWDR_3,91379.60880371541
Resample05,2015,AWDR_4,42068.66467876989
Resample05,2015,Tm_pre,75441.2347491326
Resample05,2015,Tm_1,33873.290415662814
Resample05,2015,Tm_2,40381.524024154816
Resample05,2015,Tm_3,52748.649335013935
Resample05,2015,Tm_4,116467.78054445481
Resample05,2015,Rad_1,31144.9828769241
Resample05,2015,Rad_2,29611.20027411577
Resample05,2015,Rad_3,95649.20821956468
Resample05,2015,Rad_4,34925.23801289049
Resample05,2015,vpd_pre,88204.23154729883
Resample05,2015,vpd_1,36478.09232386577
Resample05,2015,vpd_2,33020.00422813603
Resample05,2015,vpd_3,45610.32676650399
Resample05,2015,vpd_4,65289.11404668051
Resample05,2015,Q_1,27677.487224713637
Resample05,2015,Q_2,38653.794622836096
Resample05,2015,Q_3,34567.48954869505
Resample05,2015,Q_4,53143.28847714623
Resample06,2016,TILL,10363.064769059338
Resample06,2016,FUNG,80285.25928082985
Resample06,2016,INOC,249747.60506487385
Resample06,2016,SOM,148326.78716689866
Resample06,2016,Clay,53736.13833962865
Resample06,2016,Silt,49323.848791971126
Resample06,2016,Sand,49513.044854085114
Resample06,2016,Pp_pre,28526.35576600976
Resample06,2016,Pp_1,31143.690821273864
Resample06,2016,Pp_2,33968.29170686675
Resample06,2016,Pp_3,77352.22801192026
Resample06,2016,Pp_4,37486.289718505424
Resample06,2016,SDI_pre,28472.331321250418
Resample06,2016,SDI_1,28657.824606537833
Resample06,2016,SDI_2,84729.75991368665
Resample06,2016,SDI_3,41409.837792480816
Resample06,2016,SDI_4,30344.707454150495
Resample06,2016,AWDR_pre,27398.85083882469
Resample06,2016,AWDR_1,52276.11701616806
Resample06,2016,AWDR_2,53953.61423169095
Resample06,2016,AWDR_3,92836.44758046976
Resample06,2016,AWDR_4,38016.43380893434
Resample06,2016,Tm_pre,88720.24118746453
Resample06,2016,Tm_1,29099.744812832905
Resample06,2016,Tm_2,33428.40076480315
Resample06,2016,Tm_3,54022.000509406855
Resample06,2016,Tm_4,123113.64341074321
Resample06,2016,Rad_1,26547.158064078423
Resample06,2016,Rad_2,30871.27132968814
Resample06,2016,Rad_3,84675.78685002186
Resample06,2016,Rad_4,30451.107780619353
Resample06,2016,vpd_pre,97204.62316014818
Resample06,2016,vpd_1,42205.661872222954
Resample06,2016,vpd_2,31735.90068284138
Resample06,2016,vpd_3,42820.67753417044
Resample06,2016,vpd_4,62056.496670545195
Resample06,2016,Q_1,32432.93677428149
Resample06,2016,Q_2,35994.28029560758
Resample06,2016,Q_3,33656.72440465805
Resample06,2016,Q_4,39306.09492678469
Resample07,2017,TILL,7496.782730375382
Resample07,2017,FUNG,80253.65220639552
Resample07,2017,INOC,258672.0840087547
Resample07,2017,SOM,142812.66753657765
Resample07,2017,Clay,43470.60856130089
Resample07,2017,Silt,50549.97154313007
Resample07,2017,Sand,42794.59024085027
Resample07,2017,Pp_pre,29948.904827771235
Resample07,2017,Pp_1,26860.091745191767
Resample07,2017,Pp_2,35684.714150639316
Resample07,2017,Pp_3,74124.27600984983
Resample07,2017,Pp_4,32916.55778517111
Resample07,2017,SDI_pre,32067.384384553763
Resample07,2017,SDI_1,32124.379238494832
Resample07,2017,SDI_2,81646.32129467592
Resample07,2017,SDI_3,41276.33434194057
Resample07,2017,SDI_4,29501.46312711354
Resample07,2017,AWDR_pre,21323.12015140674
Resample07,2017,AWDR_1,52800.758052580124
Resample07,2017,AWDR_2,56191.49425703054
Resample07,2017,AWDR_3,93470.86485650699
Resample07,2017,AWDR_4,38594.105451829244
Resample07,2017,Tm_pre,72684.86405392412
Resample07,2017,Tm_1,32524.49571518906
Resample07,2017,Tm_2,43807.68611328996
Resample07,2017,Tm_3,51841.423352393176
Resample07,2017,Tm_4,114053.33553868622
Resample07,2017,Rad_1,27252.58610205706
Resample07,2017,Rad_2,24827.283047152523
Resample07,2017,Rad_3,95415.22959487494
Resample07,2017,Rad_4,31520.436133563762
Resample07,2017,vpd_pre,97596.54409012587
Resample07,2017,vpd_1,38248.173267508304
Resample07,2017,vpd_2,38874.13384037982
Resample07,2017,vpd_3,44180.15838554852
Resample07,2017,vpd_4,65095.37504805448
Resample07,2017,Q_1,31075.798324613992
Resample07,2017,Q_2,34106.90174024649
Resample07,2017,Q_3,39081.55195318323
Resample07,2017,Q_4,39338.57424170358
Resample08,2019,TILL,8738.657840420097
Resample08,2019,FUNG,72844.75788955344
Resample08,2019,INOC,245085.17942645052
Resample08,2019,SOM,148660.7954225542
Resample08,2019,Clay,47479.78563706001
Resample08,2019,Silt,49803.99848234759
Resample08,2019,Sand,47167.48752029057
Resample08,2019,Pp_pre,32459.64572238833
Resample08,2019,Pp_1,31844.8649259825
Resample08,2019,Pp_2,38027.39978207095
